open_time,open,high,low,close,volume
2023-06-27 00:30:00,1858.43,1864.12,1855.63,1859.35,65.6752
2023-06-27 00:45:00,1858.85,1864.0,1858.85,1862.25,22.9354
2023-06-27 01:00:00,1862.69,1862.82,1858.64,1860.24,8.7859
2023-06-27 01:15:00,1859.88,1862.38,1856.76,1862.38,41.3843
2023-06-27 01:30:00,1862.61,1866.51,1859.91,1866.51,30.2213
2023-06-27 01:45:00,1866.66,1867.18,1863.46,1864.58,27.1101
2023-06-27 02:00:00,1864.17,1864.17,1862.27,1863.87,20.5718
2023-06-27 02:15:00,1863.7,1866.43,1863.51,1865.0,22.8376
2023-06-27 02:30:00,1864.97,1867.89,1864.97,1867.47,30.1281
2023-06-27 02:45:00,1868.38,1876.53,1867.49,1875.73,94.1995
2023-06-27 03:00:00,1877.06,1879.21,1871.93,1873.18,108.4231
2023-06-27 03:15:00,1872.02,1873.11,1870.82,1873.11,23.3071
2023-06-27 03:30:00,1873.68,1875.89,1873.65,1874.63,6.8353
2023-06-27 03:45:00,1873.6,1875.26,1871.31,1872.15,25.5983
2023-06-27 04:00:00,1872.56,1873.68,1871.06,1871.49,13.1205
2023-06-27 04:15:00,1872.64,1873.3,1870.8,1872.75,3.1232
2023-06-27 04:30:00,1872.4,1874.19,1872.04,1872.59,12.6369
2023-06-27 04:45:00,1873.97,1874.45,1870.79,1870.87,12.7163
2023-06-27 05:00:00,1871.34,1871.46,1868.62,1870.27,47.8845
2023-06-27 05:15:00,1869.88,1869.88,1868.38,1868.38,20.2138
2023-06-27 05:30:00,1868.37,1868.73,1863.74,1864.87,87.1044
2023-06-27 05:45:00,1864.83,1867.42,1864.78,1867.42,2.8777
2023-06-27 06:00:00,1868.03,1868.03,1864.52,1866.29,22.7282
2023-06-27 06:15:00,1866.31,1866.92,1862.12,1865.73,23.6706
2023-06-27 06:30:00,1864.97,1866.41,1864.97,1866.41,2.7442
2023-06-27 06:45:00,1866.01,1869.63,1866.01,1869.63,37.5263
2023-06-27 07:00:00,1869.02,1873.83,1868.16,1873.78,55.7693
2023-06-27 07:15:00,1873.8,1875.08,1872.25,1872.46,59.5482
2023-06-27 07:30:00,1873.19,1876.95,1873.19,1876.09,57.3521
2023-06-27 07:45:00,1876.45,1879.1,1873.93,1875.77,100.9257
2023-06-27 08:00:00,1876.64,1879.95,1874.11,1876.96,64.9741
2023-06-27 08:15:00,1876.86,1880.48,1876.86,1878.56,18.792
2023-06-27 08:30:00,1880.1,1880.1,1874.25,1875.95,54.274
2023-06-27 08:45:00,1875.9,1877.08,1873.94,1875.94,6.9358
2023-06-27 09:00:00,1875.93,1876.74,1873.66,1873.87,25.0038
2023-06-27 09:15:00,1874.47,1874.95,1873.83,1874.95,12.7646
2023-06-27 09:30:00,1875.28,1875.28,1874.45,1874.45,0.8034
2023-06-27 09:45:00,1874.41,1878.12,1871.55,1874.79,74.4638
2023-06-27 10:00:00,1875.5,1890.42,1875.24,1886.25,82.1586
2023-06-27 10:15:00,1887.97,1888.12,1877.2,1877.31,74.9744
2023-06-27 10:30:00,1876.78,1882.11,1876.59,1879.93,40.2962
2023-06-27 10:45:00,1880.5,1884.17,1879.75,1882.97,19.5367
